tag,test_acc,test_auroc,test_f1,val_auroc,train_auroc,feature_dim,n_folds,baseline_acc
D_hidden64_l12,0.7884615384615384,0.724259832081308,0.8607594936708861,0.7485638532920901,0.8420911638641609,1792,1,0.7019230769230769
D_seed5_l12_lt16,0.7692307692307693,0.723376049491825,0.8378378378378378,0.7370746796288113,0.8702810748433893,1792,1,0.7019230769230769
C_l11_gap,0.7788461538461539,0.7229341581970835,0.8516129032258064,0.6986301369863014,0.8593801516650184,896,1,0.7019230769230769
C_l12_weighted,0.75,0.7229341581970835,0.8354430379746836,0.6889085285019885,0.8300362677217277,896,1,0.7019230769230769
E_RK5x3_p14_12_lt16,0.7334426460735568,0.7210452412882007,0.8339971825996818,0.6919080459770115,0.8546307737496182,3584,15,0.7010155506188511
D_hidden1024_l12,0.7788461538461539,0.7189571365444101,0.8535031847133758,0.7123287671232875,0.8883737223870756,1792,1,0.7019230769230769
A_K10_l17_lt16,0.7373188405797102,0.7182617630385487,0.8363392489562603,0.7008191808191808,0.832282092012114,1792,10,0.7010230179028134
D_hidden128_l12,0.7980769230769231,0.7171895713654441,0.864516129032258,0.7163057887759611,0.8766485328058029,1792,1,0.7019230769230769
E_RK5x3_l14_lt16,0.7194188793681018,0.7165460907493219,0.8276283074743976,0.6954482758620689,0.8460034222180096,1792,15,0.7010155506188511
A_K10_l15_lt8,0.7227834612105712,0.7163938492063491,0.826517003813209,0.6948717948717948,0.8245285386030445,1792,10,0.7010230179028134
A_K10_l16_lt16,0.7272165387894288,0.7151098356009069,0.8293425429404205,0.7024450549450549,0.8184456315602203,1792,10,0.7010230179028134
C_l12_weighted_n8,0.7403846153846154,0.7145382235969951,0.8187919463087249,0.6928855501546619,0.8251112759643917,896,1,0.7019230769230769
A_K10_full_mid_lt16,0.7185635123614663,0.7125807823129252,0.8235364557976395,0.6910880785880786,0.851302710926484,16128,10,0.7010230179028134
C_l11_weighted,0.7403846153846154,0.7118868758285462,0.8280254777070064,0.6933274414494035,0.8301393010220903,896,1,0.7019230769230769
C_l12_gap,0.7692307692307693,0.7110030932390632,0.84,0.7065841802916482,0.8665306627101879,896,1,0.7019230769230769
E_RK5x3_t14_12_10_lt16,0.7368419196727669,0.7090107112257917,0.8343663817516073,0.6975172413793104,0.8547942422144382,5376,15,0.7010155506188511
D_layers1_l12,0.7788461538461539,0.7074679628811312,0.8535031847133758,0.7087936367653557,0.8838196505110452,1792,1,0.7019230769230769
F_K10_l12_minimal,0.728537936913896,0.7052721088435374,0.8323289866154067,0.670939060939061,0.7829237205183033,896,10,0.7010230179028134
C_l12_weighted_n32,0.7692307692307693,0.7052585064074237,0.8461538461538461,0.6959787892178525,0.8678288822947577,896,1,0.7019230769230769
A_K10_l16_lt8,0.7228047740835465,0.6997448979591836,0.826924204911751,0.6971361971361971,0.8112193147794879,1792,10,0.7010230179028134
A_K10_l17_lt8,0.7242114236999148,0.6971208900226757,0.8266218516061447,0.6900241425241426,0.8093968760461132,1792,10,0.7010230179028134
C_l1_gap,0.7019230769230769,0.687582854617764,0.8248587570621468,0.6641626159964649,0.8776582591493571,896,1,0.7019230769230769
C_l14_weighted,0.7115384615384616,0.6827220503756076,0.8214285714285714,0.6712328767123288,0.8651088031651831,896,1,0.7019230769230769
D_layers3_l12,0.7596153846153846,0.6809544851966416,0.8387096774193549,0.6853733981440565,0.8670664358720739,1792,1,0.7019230769230769
C_l12_last_tail_first,0.7115384615384616,0.6654882898806893,0.8255813953488372,0.7384003535130358,0.9134520276953512,1792,1,0.7019230769230769
C_l11_tail_first,0.6923076923076923,0.6584180291648255,0.8095238095238095,0.6703490941228458,0.9009643916913946,896,1,0.7019230769230769
C_l1_weighted,0.7019230769230769,0.6469288555015466,0.8165680473372781,0.6155545735749005,0.8936902406857896,896,1,0.7019230769230769
C_l12_tail_first,0.6923076923076923,0.6314626601855943,0.8072289156626506,0.6721166593018117,0.8957096933728982,896,1,0.7019230769230769
C_l1_tail_first,0.7019230769230769,0.6005302695536898,0.8248587570621468,0.587273530711445,0.9354805473128914,896,1,0.7019230769230769
